Identifiant espace vert,Nom de l'espace vert,Typologie d'espace vert,Cat?gorie,Adresse - type voie,Adresse - Libell? voie,Code postal,Surface calcul?e,Superficie totale r?elle,Surface horticole,Pr?sence cloture,P?rim?tre,Nombre d'entit?s,Ouverture 24h_24h
10192,JARDINIERE DE LA PLACE SAINTE-OPPORTUNE,D?corations sur la voie publique,Jardiniere,PLACE,SAINTE OPPORTUNE,75001,58,70,70,Non,38.52238774,1,
4,JARDINET DE L'ORATOIRE,Jardinets d?coratifs,Jardinet,RUE DE,RIVOLI,75001,293,122,12,Oui,82.89790475,1,Non
818,JARDINET PLACE DU LT HENRI KARCHER,Jardinets d?coratifs,Jardinet,RUE DU,BOULOI,75001,246,240,240,Oui,76.90169695,1,Non
3,SQUARE DE LA PLACE DAUPHINE,Promenades ouvertes,Square,PLACE,DAUPHINE,75001,2992,2635,182,Non,239.018952,1,Oui
10189,DECORATION DE LA MAIRIE DU 1ER ARRONDISSEMENT,D?corations sur la voie publique,Decoration,PLACE DU,LOUVRE,75001,7,12,12,Oui,11.16911305,3,
10191,JARDINIERES ANGLE RUE DE RIVOLI - RUE DES HALLES,D?corations sur la voie publique,Jardiniere,RUE DES,HALLES,75001,45,34,34,Non,57.68148977,2,
10190,JARDINIERE DE LA RUE MAUCONSEIL,D?corations sur la voie publique,Jardiniere,RUE,MAUCONSEIL,75001,47,40,40,Non,31.5156124,1,
10193,JARDINIERE DE LA PLACE MARGUERITE DE NAVARRE,D?corations sur la voie publique,Jardiniere,PLACE,MARGUERITE DE NAVARRE,75001,42,33,33,Non,33.16440793,1,
1,JARDIN NELSON MANDELA,Promenades ouvertes,Jardin,RUE,BERGER,75001,19366,43170,15391,Non,1638.091822,1,Oui
2,SQUARE DU VERT GALANT,Promenades ouvertes,Square,PLACE DU,PONT NEUF,75001,1712,1642,923,Oui,222.0362983,1,Oui
5,SQUARE MICHEL CALDAGUES,Jardinets d?coratifs,Square,PLACE DU,LOUVRE,75001,659,663,605,Oui,225.8172478,2,Non
11235,JARDINIERE VERTICALE DU 19 RUE TIQUETONNE,Murs v?g?talis?s,Murs vegetalises,RUE,TIQUETONNE,75002,2,,,Non,9.88054154,1,
7,SQUARE JACQUES BIDAUT,Promenades ouvertes,Square,RUE DE LA,LUNE,75002,354,362,126,Oui,85.44657073,1,Non
10197,JARDINIERE DE LA RUE LEOPOLD BELLAN,D?corations sur la voie publique,Jardiniere,RUE,LEOPOLD BELLAN,75002,8,15,15,Non,20.61536581,3,
10970,JARDINET REAUMUR,Jardinets d?coratifs,Jardinet,PLACE,PIERRE LAZAREFF,75002,54,65,65,Oui,49.85202025,2,Non
11116,JARDINIERE VERTICALE DU 23 RUE DE PALESTRO,Murs v?g?talis?s,Murs vegetalises,RUE DE,PALESTRO,75002,0,,,Non,4.79374277,3,
11989,JARDINIERE VERTICALE DU 7 RUE PAUL LELONG,Murs v?g?talis?s,Murs vegetalises,RUE,PAUL LELONG,75002,,,,Non,,1,
11537,JARDINIERE ANGLE RUE DE TURBIGO RUE SAINT DENIS,D?corations sur la voie publique,Jardiniere,RUE DE,TURBIGO,75002,34,35,35,Non,29.27502576,2,
10194,DECORATION DE LA RUE TIQUETONNE,D?corations sur la voie publique,Decoration,RUE,TIQUETONNE,75002,83,42,42,Non,44.74871148,1,
11883,JARDINIERE VERTICALE DU 27 RUE LEOPOLD BELLAN,Murs v?g?talis?s,Murs vegetalises,RUE,LEOPOLD BELLAN,75002,8,,,Non,,3,
823,JARDINET DE LA RUE MARIE STUART,Jardinets d?coratifs,Jardinet,RUE,MARIE STUART,75002,17,16,7,Oui,17.33436547,1,Non
10195,JARDINIERE DE LA RUE SAINT-SAUVEUR,D?corations sur la voie publique,Jardiniere,RUE,SAINT SAUVEUR,75002,39,48,18,Non,26.680484,1,
10753,JARDINIERE DE LA PLACE GOLDONI,D?corations sur la voie publique,Jardiniere,RUE,DUSSOUBS,75002,94,95,95,Non,81.22531559,1,
11236,JARDINIERE VERTICALE DU 25 RUE TIQUETONNE,Murs v?g?talis?s,Murs vegetalises,RUE,TIQUETONNE,75002,2,,,Non,9.43219438,1,
11882,JARDINIERE VERTICALE DU 23 RUE POISSONNIERE,Murs v?g?talis?s,Murs vegetalises,RUE,POISSONNIERE,75002,0,,,Non,,2,
10746,JARDINETS ANGLE DES RUES DES PETITS CARREAUX - ABOUKIR,Jardinets d?coratifs,Jardinet,RUE DES,PETITS CARREAUX,75002,118,126,126,Oui,71.65348683,2,Non
11884,JARDINIERE DE LA RUE DALAYRAC,D?corations sur la voie publique,Jardiniere,RUE,DALAYRAC,75002,37,40,40,Non,,0,
11115,JARDINIERE VERTICALE DU 10B RUE SAINT-SAUVEUR,Murs v?g?talis?s,Murs vegetalises,RUE,SAINT SAUVEUR,75002,0,,,Non,7.7606356,1,
820,JARDINET LAZAREFF,Jardinets d?coratifs,Jardinet,PLACE,PIERRE LAZAREFF,75002,406,449,446,Oui,261.7765491,3,Non
11535,JARDIN PARTAGE LE JARDIN DE BONNE,"Eph?m?res, partag?s, p?dagogiques",Jardin partage,RUE,LEOPOLD BELLAN,75002,32,30,30,Oui,29.35348032,1,Non
11881,JARDINIERE VERTICALE DU 43 RUE DES PETITS CARREAUX,Murs v?g?talis?s,Murs vegetalises,RUE DES,PETITS CARREAUX,75002,3,,,Non,,0,
6,SQUARE LOUVOIS,Promenades ouvertes,Square,RUE DE,RICHELIEU,75002,1826,1925,929,Oui,169.5956452,1,Non
10196,JARDINIERE ARCHE MONTORGUEUIL,D?corations sur la voie publique,Jardiniere,RUE DES,PETITS CARREAUX,75002,6,10,10,Non,16.20779853,2,
11395,JARDIN PARTAGE DU SQUARE JACQUES BIDAUT,"Eph?m?res, partag?s, p?dagogiques",Jardin partage,RUE DE LA,LUNE,75002,44,45,45,Oui,34.81605339,1,Non
11791,JARDINIERE ANGLE DES RUES LOUVRE - MONTMARTRE,D?corations sur la voie publique,Jardiniere,RUE,MONTMARTRE,75002,121,120,120,Non,72.4255085,2,
13,SQUARE SAINT-GILLES - GRAND VENEUR - PAULINE ROLAND,Promenades ouvertes,Square,RUE DU,GRAND VENEUR,75003,948,987,420,Oui,124.0012046,1,Non
11120,JARDINIERE VERTICALE DU 66 RUE DE SAINTONGE,Murs v?g?talis?s,Murs vegetalises,RUE  DE,SAINTONGE,75003,0,,,Non,1.86675461,1,
11209,JARDINIERE VERTICALE DU 197 RUE TEMPLE,Murs v?g?talis?s,Murs vegetalises,RUE DU,TEMPLE,75003,0,,,Non,3.19521749,2,
10,SQUARE LEOPOLD ACHILLE,Promenades ouvertes,Square,RUE DU,PARC ROYAL,75003,2233,2190,1078,Oui,205.5815292,1,Non
825,JARDIN ANNE FRANK (HOTEL SAINT-AIGNAN),Promenades ouvertes,Jardin,IMPASSE,BERTHAUD,75003,3920,3707,2401,Oui,315.4824816,1,Non
10204,JARDINIERE DE LA RUE DE FRANCHE COMTE,D?corations sur la voie publique,Jardiniere,RUE  DE,FRANCHE COMTE,75003,33,30,30,Non,40.60398732,1,
11,SQUARE GEORGES CAIN,Promenades ouvertes,Square,RUE,PAYENNE,75003,2060,2128,1067,Oui,185.0521065,1,Non
14,JARDINETS DE LA MAIRIE DU IIIEME,Jardinets d?coratifs,Jardinet,RUE,PERREE,75003,388,236,108,Oui,117.8944785,2,Non
11208,JARDINIERE VERTICALE DU 7 IMPASSE BERTHAUD,Murs v?g?talis?s,Murs vegetalises,IMPASSE,BERTHAUD,75003,2,,,Non,8.08556006,1,
11790,JARDINIERE DE L'EGLISE DU PASSAGE SAINTE-ELISABETH,D?corations sur la voie publique,Jardiniere,PASSAGE,SAINTE-ELISABETH,75003,85,88,88,Non,98.01488721,1,
11117,JARDINIERE VERTICALE DU 14 RUE DES VERTUS,Murs v?g?talis?s,Murs vegetalises,RUE DES,VERTUS,75003,0,,,Non,6.27214346,1,
10202,JARDINIERE DE LA RUE ROGER VERLOMME,D?corations sur la voie publique,Jardiniere,RUE,ROGER VERLOMME,75003,22,20,20,Non,23.728462,1,
11538,JARDINIERE VERTICALE DU 16 RUE DE LA PERLE,Murs v?g?talis?s,Murs vegetalises,RUE DE LA,PERLE,75003,3,,,Non,18.50699661,6,
11985,JARDIN ARNAUD BELTRAME,Promenades ouvertes,Jardin,RUE DES,MINIMES,75003,,,,Oui,,0,Non
11886,JARDINIERE VERTICALE DU 37-47 BOULEVARD SAINT-MARTIN,Murs v?g?talis?s,Murs vegetalises,BOULEVARD,SAINT MARTIN,75003,7,,,Non,,3,
11916,JARDINIERE VERTICALE DU 90 RUE VIEILLE DU TEMPLE,Murs v?g?talis?s,Murs vegetalises,RUE,VIEILLE DU TEMPLE,75003,,,,Non,,1,
